User_Type,Fabric_Length,Fabric_Width,Piece_Length,Piece_Width,Fabric_Type,GSM,Defect_Count,Marker_Efficiency,Layout_Type,Pieces_Along_Length,Pieces_Along_Width,Pieces_Possible,Waste_Percentage,Utilization_Percentage,Efficiency_Level
Tailor,1.23,45.9,0.83,24.73,Cotton,251,6,70.79,Grid,1,1,0,38.0,62.0,Poor
Tailor,6.05,61.78,1.55,18.39,Silk,250,4,90.24,Grid,3,3,8,19.03,80.97,Good
Factory,203.11,41.6,1.94,16.73,Cotton,197,1,78.97,Staggered,104,2,164,26.84,73.16,Moderate
Factory,291.3,71.03,1.07,21.04,Denim,247,3,87.61,Grid,272,3,714,21.29,78.71,Moderate
Tailor,8.7,67.19,1.07,19.07,Denim,141,5,78.88,Rotated,8,3,18,27.96,72.04,Moderate
Tailor,6.48,42.16,1.59,13.27,Silk,169,10,87.2,Grid,4,3,10,24.18,75.82,Moderate
Tailor,3.06,37.16,0.97,15.35,Polyester,245,5,75.32,Staggered,3,2,4,36.75,63.25,Poor
Factory,114.29,41.03,1.62,20.78,Silk,249,6,79.05,Grid,70,1,55,34.14,65.86,Poor
Tailor,8.75,41.5,0.74,23.61,Cotton,198,6,84.9,Staggered,11,1,9,26.23,73.77,Moderate
Tailor,7.12,40.12,1.83,25.02,Denim,128,4,80.87,Staggered,3,1,2,30.36,69.64,Poor
Factory,487.35,63.43,1.26,12.13,Denim,263,8,85.22,Grid,386,5,1644,21.97,78.03,Moderate
Tailor,6.39,53.59,0.67,17.26,Denim,161,0,76.02,Rotated,9,3,20,25.75,74.25,Moderate
Factory,417.21,71.21,1.3,12.52,Silk,240,2,76.63,Rotated,320,5,1226,28.49,71.51,Moderate
Tailor,7.42,50.36,1.51,17.47,Silk,130,3,75.62,Staggered,4,2,6,31.66,68.34,Poor
Tailor,1.06,61.48,0.59,11.35,Cotton,184,1,82.85,Staggered,1,5,4,25.22,74.78,Moderate
Tailor,7.51,67.77,1.36,14.86,Silk,204,3,72.36,Rotated,5,4,14,33.46,66.54,Poor
Factory,438.73,37.95,1.48,22.92,Cotton,203,5,90.01,Grid,296,1,266,17.64,82.36,Good
Factory,113.08,42.61,1.19,27.49,Cotton,213,8,72.45,Rotated,95,1,68,38.0,62.0,Poor
Tailor,9.34,66.55,0.75,19.71,Polyester,202,0,74.12,Grid,12,3,26,27.97,72.03,Moderate
Factory,178.36,61.08,1.6,25.67,Silk,139,3,77.42,Grid,111,2,171,28.31,71.69,Moderate
Factory,75.72,57.03,1.25,27.05,Polyester,114,8,72.0,Grid,60,2,86,34.97,65.03,Poor
Tailor,4.63,69.9,1.35,21.58,Cotton,258,1,80.48,Rotated,3,3,7,26.11,73.89,Moderate
Factory,141.92,61.78,0.86,17.92,Denim,217,5,93.23,Grid,165,3,461,13.82,86.18,Good
Tailor,1.66,43.67,0.9,28.67,Cotton,162,5,77.12,Staggered,1,1,0,36.91,63.09,Poor
Tailor,7.01,55.97,1.9,12.07,Polyester,167,1,92.24,Rotated,3,4,11,11.97,88.03,Good
Tailor,7.46,43.33,1.45,15.28,Silk,164,0,72.31,Staggered,5,2,7,33.47,66.53,Poor
Factory,397.0,58.94,0.89,24.82,Silk,243,0,72.8,Rotated,446,2,649,30.59,69.41,Poor
Factory,312.13,41.33,0.69,16.17,Cotton,191,3,87.05,Rotated,452,2,786,18.99,81.01,Good
Factory,488.23,62.98,1.89,14.73,Polyester,145,6,70.62,Rotated,258,4,728,35.24,64.76,Poor
Factory,411.01,67.11,1.72,15.34,Cotton,197,0,91.46,Grid,238,4,870,12.49,87.51,Good
Factory,187.34,64.63,0.84,10.47,Polyester,202,5,76.97,Grid,223,6,1029,27.8,72.2,Moderate
Factory,355.78,66.37,1.0,10.55,Denim,145,9,94.06,Staggered,355,6,2003,15.08,84.92,Good
Factory,377.85,47.29,1.41,20.23,Silk,247,3,76.37,Rotated,267,2,407,29.91,70.09,Moderate
Tailor,4.28,38.52,1.5,16.6,Denim,269,1,87.99,Staggered,2,2,3,21.93,78.07,Moderate
